sentence,likelihood
"Okay, that's fine.",-12.8759765625
"Yeah, it's fine.",-12.876953125
"No, you don't get it.",-12.8778076171875
My gosh!,-12.87841796875
"Um, Mr.",-12.878662109375
"No, Daddy.",-12.87890625
This is so awesome!,-12.87890625
What's in your bag?,-12.87890625
"No, what?",-12.87890625
What difference does it make?,-12.88226318359375
I'm perfect.,-12.8828125
"Hey, Joe.",-12.8828125
Shush!,-12.8828125
It's weird.,-12.8828125
"Hey, what's your name?",-12.8828125
"Oh, never mind.",-12.8828125
I'm the boss.,-12.8828125
You're joking.,-12.8828125
"Well, well, well.",-12.8828125
"Okay, no problem.",-12.8837890625
Have you heard?,-12.88525390625
Where do you want to eat?,-12.88671875
I'll show you.,-12.88671875
Come and get it!,-12.88671875
Let me get this straight.,-12.88671875
Are you Mr.,-12.88671875
"Well, look.",-12.8876953125
Where were you yesterday?,-12.888671875
"Uh, Mom?",-12.888671875
"Yeah, great.",-12.890625
What's yours?,-12.890625
Lucky you!,-12.890625
Silly!,-12.890625
Sean!,-12.890625
Hiya!,-12.890625
Eat it!,-12.890625
Do you want anything?,-12.890625
Get this.,-12.890625
Get down!,-12.890625
What a coincidence!,-12.890625
What the what?,-12.890625
Home?,-12.890625
"Hi, Dr.",-12.890625
You're breaking up with me?,-12.89111328125
Did you do it?,-12.8916015625
"Come on, Mr.",-12.892333984375
I want to get married.,-12.89453125
Ughhh.,-12.89453125
Why are you being so mean?,-12.89453125
Do I look fat in this dress?,-12.89453125
"What are you doing, dude?",-12.89599609375
Don't sweat it.,-12.8968505859375
"Ugh, I don't know.",-12.89788818359375
Natalie!,-12.89794921875
"Hey, wait!",-12.8984375
Why are they doing that?,-12.8984375
"Hey, John.",-12.8984375
"Yeah, maybe.",-12.8984375
What's this thing?,-12.8984375
I'm leaving you.,-12.8984375
I'm not leaving.,-12.8984375
Daaaaaad!,-12.8984375
I doubt it.,-12.8984375
He did what?,-12.8984375
Did you do that?,-12.8994140625
What kind of name is that?,-12.90008544921875
"Oh, that's okay.",-12.90234375
"Hello, hello.",-12.90234375
This is bullshit.,-12.90234375
Let's go shopping!,-12.90234375
Why are you upset?,-12.90234375
"Hello, everyone.",-12.90234375
Go to your room!,-12.90234375
Is that okay?,-12.90234375
How am I going to do this?,-12.9024658203125
"Well, it depends.",-12.9033203125
"Oh my God, Mr.",-12.904541015625
What you doin'?,-12.9052734375
Come.,-12.90625
You're getting married?,-12.90625
Can you hear me?,-12.90625
It's just a movie.,-12.90625
Fuck off.,-12.90625
I'm 19.,-12.90625
I want that.,-12.90625
5.,-12.90625
"Hey, look at this.",-12.90625
Nurse!,-12.90625
"Oh, look at you.",-12.90625
I love this place.,-12.90625
Son!,-12.90625
Great job!,-12.90625
Linda!,-12.90625
Are you making fun of me?,-12.90655517578125
Did you like it?,-12.9072265625
What are you smiling at?,-12.90771484375
"Well, what are you gonna do?",-12.9091796875
Where's my baby?,-12.91015625
Ughh!,-12.91015625
Where's your hair?,-12.91015625
"Alright, Mr.",-12.9111328125
Way to go!,-12.912109375
"Mama, look!",-12.912109375
"Uh, yes.",-12.912109375
Samantha!,-12.91278076171875
Arg!,-12.9140625
Speak English!,-12.9140625
You first.,-12.9140625
"Oh, nice.",-12.9140625
"Yeah, definitely.",-12.9140625
I'm the best.,-12.9140625
I'm lonely.,-12.9140625
I love your hair!,-12.9140625
What makes you think that?,-12.916015625
Can I have some of that?,-12.91796875
That's terrible.,-12.91796875
I don't want that.,-12.91796875
"Well, uh.",-12.9189453125
"Okay, so.",-12.9189453125
Why aren't you eating?,-12.919464111328125
Do you believe in God?,-12.919921875
"You know what, man?",-12.919921875
Where're you going?,-12.919921875
Mind if I sit here?,-12.9208984375
"Oh, there you are.",-12.9208984375
"Well, what are you going to do about it?",-12.920928955078125
Can I have your autograph?,-12.921539306640625
I'm in college.,-12.921875
Die!,-12.921875
Buddy!,-12.921875
How does that work?,-12.921875
I need to go.,-12.921875
Obama?,-12.921875
You know what I hate?,-12.921875
Jen!,-12.921875
We'll see.,-12.921875
Laura!,-12.921875
"No way, Mom.",-12.921875
"Yeah, I'm good.",-12.921875
Kim!,-12.921875
Forget about it.,-12.921875
What's she doing?,-12.921875
What kind of music do you like?,-12.92279052734375
Did you know?,-12.9228515625
What do you think I should do?,-12.9228515625
Are you listening?,-12.92333984375
"You just don't get it, do you?",-12.9237060546875
It's Mr.,-12.923828125
Over my dead body.,-12.924072265625
Don't you have anything else?,-12.9241943359375
"Mom, what's that?",-12.92578125
Nu-uh.,-12.92626953125
You want me to what?,-12.92626953125
You talk too much.,-12.9267578125
"Well, so what?",-12.9267578125
"Hey, it's okay.",-12.927734375
Can't you see I'm busy?,-12.927734375
Fabulous!,-12.9296875
I know what you're doing.,-12.9296875
We're just friends.,-12.9296875
Why are you laughing at me?,-12.9296875
"Yeah, but.",-12.9296875
How would I know?,-12.9296875
You hear that?,-12.9296875
Do you want it?,-12.9296875
It's not about the money.,-12.9296875
I'm just.,-12.9296875
I'm so nervous.,-12.9296875
"Yes, Mr.",-12.929931640625
"Whoa, what are you doing?",-12.9306640625
"Yeah, that's great.",-12.931640625
"Mom, why?",-12.93359375
I don't care about that.,-12.93359375
That's so stupid.,-12.93359375
Can I show you something?,-12.9345703125
Am I fat?,-12.9345703125
Am I crazy?,-12.9345703125
Why aren't you working?,-12.935089111328125
I don't want to die.,-12.935546875
What's taking so long?,-12.9356689453125
I can't do anything.,-12.9365234375
I can't talk.,-12.9365234375
I'm 15.,-12.9375
Two?,-12.9375
Yawn.,-12.9375
Tomorrow.,-12.9375
Remember?,-12.9375
But Dad!,-12.9375
Go to sleep.,-12.9375
"Hi, everybody.",-12.9375
I'm depressed.,-12.9375
Why are you asking me that?,-12.9375
"Hey, can we talk?",-12.9375
I'm 13.,-12.9375
Why would I want to do that?,-12.9375
How old are you again?,-12.9404296875
Stop doing that!,-12.94140625
"Uhh, what?",-12.94140625
"But, but, but.",-12.94140625
Do you want to dance?,-12.94140625
What are we doing today?,-12.94140625
"Thanks, Mr.",-12.94287109375
Cat got your tongue?,-12.943359375
Why are you following me?,-12.943359375
Wanna hang out?,-12.9443359375
It's up to you.,-12.9443359375
Isn't that nice?,-12.94464111328125
Who's your daddy?,-12.9453125
What's the time?,-12.9453125
I need to go to the bathroom.,-12.9453125
I really like you.,-12.9453125
Where's the party?,-12.9453125
"Yeah, Dad.",-12.9453125
It's what?,-12.9453125
Where's my food?,-12.9453125
Did you make this?,-12.9462890625
You don't remember?,-12.947509765625
That's so great!,-12.94921875
How could this happen?,-12.94921875
What am I going to do now?,-12.95025634765625
Are you my mom?,-12.95068359375
What can we do?,-12.951171875
How many times do I have to tell you?,-12.95196533203125
Shut the fuck up!,-12.952392578125
Uhhhhh.,-12.953125
What do I say?,-12.953125
How much does that cost?,-12.953125
Come over.,-12.953125
Kevin!,-12.953125
Oh dude!,-12.953125
It's Tuesday.,-12.953125
Jimmy!,-12.953125
Parents!,-12.953125
Kelly!,-12.953125
What did I say?,-12.953125
Oww!,-12.953125
Fuck that.,-12.953125
Will you do me a favor?,-12.9541015625
I'm not going to do it.,-12.9560546875
Where's my car?,-12.95703125
This is too much.,-12.95703125
I don't know what to wear.,-12.95703125
"Yes, you're right.",-12.95703125
Why are you in here?,-12.95703125
George W.,-12.95703125
Darling!,-12.95703125
Not this again!,-12.95703125
I don't know what to say.,-12.95703125
"Mom, you're embarrassing me.",-12.958984375
Why do you ask?,-12.9609375
"No, come on.",-12.9609375
Jessie!,-12.9609375
Urgh!,-12.9609375
Is it over?,-12.9609375
"Alright, fine.",-12.9609375
Why did you call me?,-12.9609375
It's Halloween.,-12.9609375
I'm not crying.,-12.9609375
What are you doing up here?,-12.96240234375
Are you sleeping?,-12.96240234375
Where's Mr.,-12.962646484375
Where did you get that shirt?,-12.962890625
What have you got?,-12.962890625
"Hey, where have you been?",-12.963134765625
Can I ask you a personal question?,-12.9637451171875
I'm not going to do this.,-12.9638671875
Where did you hear that?,-12.96484375
Let's talk.,-12.96484375
I'm thinking of a number.,-12.96484375
"Whatever, girl.",-12.96484375
"Whoa, man.",-12.96484375
"Well, actually.",-12.9658203125
"Well, wait.",-12.9658203125
"Okay, sure.",-12.9658203125
When I was your age.,-12.9661865234375
"What are you, stupid?",-12.96630859375
What did you do this summer?,-12.966796875
"Um, guys?",-12.9677734375
I can't drive.,-12.9677734375
It.,-12.96875
Max!,-12.96875
Holy.,-12.96875
It's not real.,-12.96875
You want it?,-12.96875
You're young.,-12.96875
Who are you again?,-12.96875
You're awesome.,-12.96875
"Uhm, no.",-12.96875
Try it.,-12.96875
What do you guys want to do?,-12.9697265625
Did you have fun?,-12.9697265625
Are you sitting down?,-12.97021484375
Where did you find this?,-12.970703125
Talk to me.,-12.970703125
"No, Mrs.",-12.97119140625
Do you know who that is?,-12.9716796875
"You know, Mrs.",-12.9718017578125
Where's your hat?,-12.97265625
This is disgusting.,-12.97265625
What can I get you?,-12.97265625
That's so mean!,-12.97265625
Where are your parents?,-12.97265625
Ice cream?,-12.97265625
Is that your mom?,-12.97265625
"What am I, chopped liver?",-12.97308349609375
"Okay, bye.",-12.9736328125
Who told you that?,-12.9736328125
Are you new here?,-12.97412109375
"Oh, yeah, right.",-12.974609375
Deal with it.,-12.974609375
"No, I don't care.",-12.9754638671875
What's wrong with this picture?,-12.9765625
It's time to go.,-12.9765625
"Oh, stop.",-12.9765625
Why do you do this?,-12.9765625
What else is new?,-12.9765625
Did you hear the news?,-12.9775390625
What have you done?,-12.978515625
Don't tell anyone.,-12.9788818359375
"Hi, what are you doing?",-12.980224609375
How can I do this?,-12.98046875
"Yeah, what about it?",-12.98046875
What day is it today?,-12.98046875
"Well, what's wrong?",-12.9814453125
Go fuck yourself.,-12.982421875
I can't handle this.,-12.9833984375
Chloe!,-12.984375
Turn around.,-12.984375
I'm a writer.,-12.984375
You did?,-12.984375
Rah!,-12.984375
You're Jewish?,-12.984375
Grace!,-12.984375
Are we going?,-12.984375
"Oh, awesome!",-12.984375
I'm gonna go.,-12.984375
Ey!,-12.984375
What is he doing here?,-12.984375
How are you doing today?,-12.9853515625
Did you miss me?,-12.9853515625
"Yeah, that's it.",-12.986328125
Don't you care?,-12.9866943359375
I don't understand it.,-12.98828125
You know what you are?,-12.98828125
Who is it?,-12.98828125
Why are you saying that?,-12.98828125
"No, you're right.",-12.98828125
Where'd you get it?,-12.9892578125
"Uh, dude.",-12.990234375
How much does this cost?,-12.990234375
"Oh my god, oh my god!",-12.9906005859375
Where are you guys?,-12.9921875
"Oh, you know me.",-12.9921875
A horse?,-12.9921875
What did I just do?,-12.9921875
Jealous?,-12.9921875
I'm not doing anything.,-12.9921875
Would you marry me?,-12.9921875
I'm your sister.,-12.9921875
Ahhhhhhh!,-12.9921875
Agreed.,-12.9921875
What did I miss?,-12.9921875
Grandpa!,-12.9921875
I'm crying.,-12.9921875
You know what's great?,-12.9921875
"Oh, totally.",-12.9921875
"Ugh, really?",-12.9921875
Are you sure about that?,-12.99365234375
Why are you acting like this?,-12.99609375
This is for you.,-12.99609375
Is that him?,-12.99609375
What are you taking?,-12.99755859375
Let's get out of here.,-12.998046875
Where did you get that from?,-12.998046875
"Yeah, I did.",-13.0
No fair!,-13.0
Mine!,-13.0
Tommy!,-13.0
It was great.,-13.0
We did it!,-13.0
Let me go.,-13.0
Why are you being so weird?,-13.0
Five?,-13.0
I'm drunk.,-13.0
Is it true?,-13.0
I'll call you.,-13.0
Obviously.,-13.0
Eric!,-13.0
What was it?,-13.0
Did you get it?,-13.0009765625
Ooohhh!,-13.00341796875
"Yes, honey.",-13.00390625
What's wrong with you people?,-13.00390625
Why are you acting so weird?,-13.00390625
"Oh my gosh, I'm so sorry.",-13.005859375
I'm not happy.,-13.0078125
"I'm sorry, honey.",-13.0078125
I'm too busy.,-13.0078125
"Yeah, I know, right?",-13.0078125
I'm trying.,-13.0078125
I'm happy.,-13.0078125
You like him?,-13.0078125
"Oh, what's up?",-13.0078125
But I.,-13.0078125
Daaad!,-13.0078125
You're going to what?,-13.0087890625
"Hey guys, what's up?",-13.0087890625
Why can't I?,-13.009033203125
What's your number?,-13.01171875
That's horrible!,-13.01171875
You know what's crazy?,-13.01171875
"Yes, absolutely.",-13.01171875
"Well, I.",-13.0126953125
"Mom, what's going on?",-13.014892578125
Can I sit with you?,-13.01513671875
Who are these guys?,-13.015625
Wat?,-13.015625
4.,-13.015625
Daughter!,-13.015625
Poof!,-13.015625
Dibs!,-13.015625
Kyle!,-13.015625
Just chill.,-13.015625
Look what I found!,-13.015625
I promise.,-13.015625
What are these things?,-13.015625
Did you get my email?,-13.0166015625
"Hey, check this out.",-13.0166015625
How are we going to do this?,-13.01739501953125
Are you going to be okay?,-13.01806640625
We love you.,-13.01953125
You're killing me!,-13.01953125
"Ah, no.",-13.01953125
"Oh, that's so cool!",-13.01953125
Why aren't you here?,-13.021026611328125
Why don't you do it?,-13.021392822265625
"Come on, dude.",-13.0234375
"Oh, what is that?",-13.0234375
What's your favorite movie?,-13.0234375
Daaaaad!,-13.0234375
Yaaaaay!,-13.0234375
You're not.,-13.0234375
It's Saturday.,-13.0234375
"All right, cool.",-13.025390625
How do you know all this?,-13.025390625
Don't touch that!,-13.0257568359375
Why is he doing that?,-13.02734375
"Oh, that's fine.",-13.02734375
I'm better than you.,-13.02734375
"Mom, come here.",-13.02734375
"Mom, come on.",-13.02734375
How are you gonna do that?,-13.0283203125
I don't know what I'm going to do.,-13.0286865234375
"Wait, really?",-13.029296875
How old are they?,-13.029296875
Aren't you cold?,-13.0301513671875
Isn't he cute?,-13.03057861328125
D.,-13.03125
Is it safe?,-13.03125
Do you know him?,-13.03125
But how?,-13.03125
Here's $20.,-13.03125
Hehe.,-13.03125
This guy?,-13.03125
Can we?,-13.03125
Just eat it.,-13.03125
Where's my bag?,-13.03125
I'm not kidding.,-13.03125
Worst.,-13.03125
Look at us!,-13.03125
How much is that?,-13.03125
You know what it is?,-13.03125
Everyone!,-13.03125
Forget him.,-13.03125
Listen to this.,-13.03125
"Good morning, Mr.",-13.03173828125
Are you a girl?,-13.03271484375
Are you excited?,-13.03271484375
Don't you like me?,-13.0335693359375
Come with me if you want to live.,-13.034423828125
"Hey, I love you.",-13.03515625
"No, no way.",-13.03515625
What's the rush?,-13.03515625
"Whoa, what happened?",-13.03515625
Can I help you find something?,-13.03662109375
Are you cold?,-13.03662109375
Told you so!,-13.037109375
Is there anything I can do?,-13.0380859375
Give it to me.,-13.0380859375
"Um, Mom?",-13.0380859375
What do you want me to do about it?,-13.038177490234375
What are they going to do?,-13.03857421875
"Yeah, well.",-13.0390625
I'm older than you.,-13.0390625
Missy!,-13.0390625
What's your favorite?,-13.0390625
I'm awesome.,-13.0390625
Why is this so hard?,-13.0390625
Get off the phone!,-13.0390625
"Ugh, what?",-13.0390625
You're going to do what?,-13.0400390625
I'm Mrs.,-13.04052734375
Where did you get that dress?,-13.041015625
Don't you know?,-13.0413818359375
Of course it is.,-13.04150390625
Today's the day.,-13.04296875
Do you want to go out?,-13.04296875
Where's your shirt?,-13.04296875
Whaaaaaaat?,-13.04296875
I don't drink.,-13.04296875
That's true.,-13.04296875
Can we just be friends?,-13.04296875
This is so stupid.,-13.04296875
What are you guys going to do?,-13.04345703125
"Okay, what?",-13.0439453125
Thanks so much!,-13.044189453125
What are you worried about?,-13.044921875
"Oh yeah, totally.",-13.044921875
Can't we just be friends?,-13.044921875
Who are you supposed to be?,-13.045578002929688
"No, that's okay.",-13.0458984375
Why bother?,-13.046875
I get that.,-13.046875
Harry!,-13.046875
When are you leaving?,-13.046875
Get it?,-13.046875
"Hey, watch this!",-13.046875
What do we do now?,-13.046875
Why are you acting like that?,-13.046875
Cheers!,-13.046875
Are you tired?,-13.04833984375
But I didn't do anything!,-13.048431396484375
What else you got?,-13.05078125
"Mom, help!",-13.05078125
This is nice.,-13.05078125
"Mom, what's up?",-13.05078125
"Dude, what's up?",-13.05078125
I don't feel like it.,-13.05078125
What's his problem?,-13.05078125
That's hilarious!,-13.05078125
Why didn't you say anything?,-13.0513916015625
What's that over there?,-13.0517578125
Why aren't you married?,-13.052276611328125
I'm going to do this.,-13.05322265625
I hate my life.,-13.0546875
You're so nice.,-13.0546875
"Ugh, fine.",-13.0546875
You're so smart.,-13.0546875
It's a girl!,-13.0546875
You poor thing.,-13.0546875
I get it now.,-13.0546875
Mein Gott!,-13.0546875
Why are you ignoring me?,-13.0546875
Is it me?,-13.0546875
When is your birthday?,-13.0546875
It's not.,-13.0546875
I just can't do it.,-13.0550537109375
Oh no you didn't!,-13.05517578125
How much money do you have?,-13.0556640625
Are you lost?,-13.05615234375
Don't be scared.,-13.0570068359375
Don't even worry about it.,-13.0584716796875
Why can't I do that?,-13.059814453125
What are you getting me?,-13.06005859375
What do you mean you don't know?,-13.060302734375
What are you lookin' at?,-13.060546875
"Hey, are you okay?",-13.06201171875
Get out of my life!,-13.0625
Why is that important?,-13.0625
E!,-13.0625
Not.,-13.0625
He likes you.,-13.0625
Look around you.,-13.0625
I'm so depressed.,-13.0625
You can't do this.,-13.0625
What would you like to do?,-13.0625
I love her.,-13.0625
Oof.,-13.0625
Peter!,-13.0625
Heyyy!,-13.0625
I'm a teenager.,-13.0625
Sue!,-13.0625
Everybody!,-13.0625
What do you like to do?,-13.0634765625
"Hey, how was your day?",-13.064453125
"Well, what did you do?",-13.0654296875
What's on TV?,-13.06640625
Why do you hate me so much?,-13.06640625
"Um, what are you doing?",-13.06640625
I couldn't believe it.,-13.0684814453125
I'm going to the bathroom.,-13.06884765625
"Please, no.",-13.0703125
My life is over.,-13.0703125
You're out!,-13.0703125
You're insane.,-13.0703125
"What's wrong, Mom?",-13.0703125
You know what I'm saying?,-13.0703125
You're ugly.,-13.0703125
"Oh, you?",-13.0703125
You don't want to know.,-13.070556640625
How do you know so much?,-13.072265625
Don't move.,-13.0726318359375
"Mom, I can't do this.",-13.0732421875
"Mom, do I have to?",-13.07421875
This is horrible.,-13.07421875
"No, I'm serious.",-13.07421875
I don't believe that.,-13.07421875
How much do you make?,-13.0751953125
What in the world is that?,-13.07568359375
How do you know all this stuff?,-13.076171875
What the hell's going on?,-13.076904296875
What am I supposed to do now?,-13.077056884765625
Bless your heart.,-13.0771484375
But I don't understand.,-13.07806396484375
"Why, yes.",-13.078125
You can do this!,-13.078125
No kidding.,-13.078125
Mhm.,-13.078125
Greg!,-13.078125
That makes sense.,-13.078125
You're weird.,-13.078125
Taylor!,-13.078125
Is it on?,-13.078125
I have a question.,-13.078125
Very well.,-13.078125
"Look, I get it.",-13.078125
Derek!,-13.078125
Mmmmm.,-13.078125
I will.,-13.078125
I feel bad.,-13.078125
Can't you read?,-13.078125
I just want you to be happy.,-13.0791015625
"Yeah, that's true.",-13.080078125
What did you mean by that?,-13.080078125
What are you guys up to?,-13.081298828125
What is wrong with you guys?,-13.081298828125
Why is this happening to me?,-13.08154296875
"Look, honey.",-13.08203125
Maybe next time.,-13.08203125
Do you need something?,-13.08203125
"What's up, dude?",-13.08203125
"No, sorry.",-13.08203125
What's in it for you?,-13.08203125
Let's play a game.,-13.08203125
Lucy!,-13.08203125
You can't wear that.,-13.08203125
No can do.,-13.08251953125
Yaaaay!,-13.083984375
I have a headache.,-13.0859375
Can you marry me?,-13.0859375
I'm so mad.,-13.0859375
Let's go to the mall.,-13.0859375
Mamma Mia!,-13.0859375
"Well, that's easy.",-13.0869140625
Are you there?,-13.08740234375
What are you asking me for?,-13.08740234375
I didn't.,-13.08782958984375
Don't wear that.,-13.0882568359375
Of course you are.,-13.08837890625
Can you.,-13.08984375
I love him so much.,-13.08984375
"Dude, chill.",-13.08984375
"Wow, okay.",-13.08984375
"Oh, that's interesting.",-13.08984375
Good luck with that.,-13.08984375
I don't remember.,-13.08984375
I'm new here.,-13.08984375
I'm not sleeping with you.,-13.091796875
Enough is enough.,-13.093505859375
Us?,-13.09375
It's so weird.,-13.09375
Get away!,-13.09375
Damn it!,-13.09375
"Wow, this is great.",-13.09375
A baby?,-13.09375
Who is that girl?,-13.09375
I'll call you back.,-13.09375
Moms!,-13.09375
Ick!,-13.09375
"Oh my God, are you okay?",-13.09375
Leave.,-13.09375
You did it!,-13.09375
Katie!,-13.09375
Nooooooooooo!,-13.09375
Stay.,-13.09375
Holly!,-13.09375
He.,-13.09375
"Come on, come on!",-13.0947265625
"Oh, what's going on?",-13.0947265625
Ohmigosh!,-13.095703125
"Hey man, what's up?",-13.09765625
What is up with you?,-13.09765625
"Look, guys.",-13.09765625
I'm never getting married.,-13.09765625
What're you reading?,-13.09912109375
"Wait, hold on.",-13.099609375
How tall are you?,-13.099609375
"Mom, what do you mean?",-13.099609375
Is that real?,-13.1015625
It's a boy!,-13.1015625
What is this for?,-13.1015625
I'm not doing this anymore.,-13.1015625
Where's your car?,-13.1015625
You're okay.,-13.1015625
Why is he here?,-13.1015625
"Oh, Dad.",-13.1015625
Did you hear me?,-13.1025390625
Why are you yelling at me?,-13.103515625
How did you find out?,-13.103515625
"Girl, what are you doing?",-13.10400390625
Who do you think I am?,-13.10400390625
Brilliant!,-13.1044921875
"Oh my God, are you serious?",-13.10546875
Bullshit.,-13.10546875
I don't believe this.,-13.10546875
You're not going to believe this.,-13.1064453125
"Well, what about this?",-13.1064453125
"No, that's not true.",-13.1083984375
"Mommy, where are you going?",-13.1083984375
What was that about?,-13.109375
Beth!,-13.109375
I'm a big girl now.,-13.109375
Keith!,-13.109375
You bitch!,-13.109375
What are we doing tomorrow?,-13.109375
I have no money.,-13.109375
Who the heck are you?,-13.109375
Do you want one?,-13.109375
Pink?,-13.109375
I'll wait.,-13.109375
Pssh.,-13.109375
This happened.,-13.109375
I apologize.,-13.109375
It hurts.,-13.109375
Not so much.,-13.109375
But you promised!,-13.109375
Aaron!,-13.109375
Interesting.,-13.109375
Mommmmm!,-13.109375
Why are you freaking out?,-13.1094970703125
Are you being serious?,-13.11083984375
Are you a vampire?,-13.11083984375
What are you doing out?,-13.11083984375
Who are you and what are you doing here?,-13.1112060546875
What are you going to do tonight?,-13.111328125
Don't worry about that.,-13.1116943359375
Get in the car.,-13.11328125
Can you see me?,-13.11328125
"Oh, that's good.",-13.11328125
Ridiculous!,-13.1142578125
You just don't get it.,-13.11505126953125
"Uh, OK.",-13.115234375
Don't mess with me.,-13.1156005859375
I'm not your friend.,-13.1171875
I'm in love.,-13.1171875
"Oh my God, you guys.",-13.1171875
Mic drop.,-13.1171875
Can I go to the bathroom?,-13.1171875
What's he like?,-13.1171875
It's time.,-13.1171875
I'm not wearing this.,-13.1171875
I'm single.,-13.1171875
It's too late.,-13.1171875
It's not you.,-13.1171875
Why shouldn't I?,-13.11737060546875
Holy moly!,-13.1181640625
"Um, Mrs.",-13.119873046875
Please don't do that.,-13.1209716796875
Do whatever you want.,-13.12109375
That's not cool.,-13.12109375
I want to do this.,-13.12109375
"OK, look.",-13.12109375
Do you want to come in?,-13.12109375
"OK, yeah.",-13.12109375
"I want this, I want that.",-13.1220703125
What the fuck is wrong with you?,-13.12249755859375
How much do you love me?,-13.123046875
How could you say that?,-13.123046875
Where did you get these?,-13.123046875
Why did you leave?,-13.125
Next!,-13.125
What the f***?,-13.125
"What the hell, dude?",-13.125
It's late.,-13.125
Forget this.,-13.125
It's so pretty!,-13.125
I hear you.,-13.125
Ava!,-13.125
I'm so stupid.,-13.125
Beep!,-13.125
Can I have it?,-13.125
"Ugh, I know.",-13.125
What you want?,-13.125
Everything's fine.,-13.125
What're you looking at?,-13.12548828125
Where'd you get those?,-13.1259765625
Why isn't this working?,-13.128509521484375
Here we go again.,-13.12890625
Is that really you?,-13.12890625
"Mom, I'm scared.",-13.12890625
When did you get here?,-13.12890625
I'm your best friend.,-13.129150390625
What are you crying for?,-13.13037109375
"I'm fine, I'm fine.",-13.130859375
"Okay, here's the deal.",-13.1318359375
Isn't that cool?,-13.13214111328125
Why are you being so mean to me?,-13.1328125
I'm like.,-13.1328125
Who asked you?,-13.1328125
I'm beautiful.,-13.1328125
"Whoa, what is this?",-13.1328125
What's she doing here?,-13.1328125
I want a dog.,-13.1328125
You're cool.,-13.1328125
But Mommy!,-13.1328125
I'm a good person.,-13.1328125
Doesn't matter.,-13.13330078125
But Ms.,-13.133544921875
Did you lose weight?,-13.1337890625
What do you eat?,-13.1337890625
Don't do this.,-13.1351318359375
Aren't you scared?,-13.1356201171875
M'kay.,-13.13665771484375
Where are you staying?,-13.13671875
Do you mind if I sit here?,-13.13671875
Where are your pants?,-13.13671875
I don't need a man.,-13.13671875
Why are you sad?,-13.13671875
What are you doing after school?,-13.13818359375
What are we having for dinner?,-13.138671875
What did you get me?,-13.138671875
What am I looking at?,-13.13909912109375
Please leave me alone.,-13.1396484375
"Well, I dunno.",-13.13983154296875
Doing what?,-13.140625
Awe!,-13.140625
What do I care?,-13.140625
The hell?,-13.140625
WTH?,-13.140625
What you mean?,-13.140625
I'm not wearing that.,-13.140625
I never said that.,-13.140625
I might be pregnant.,-13.140625
Do something!,-13.140625
It's about time!,-13.140625
"Oh, are you sure?",-13.142578125
Definitely.,-13.14404296875
Ooohh!,-13.14404296875
"Daddy, look!",-13.14453125
Tell me a story.,-13.14453125
"Mom, what's wrong with you?",-13.14453125
"Well, all right.",-13.1455078125
Are you coming or not?,-13.14599609375
I didn't do anything wrong.,-13.14642333984375
What did you buy?,-13.146484375
No comment.,-13.1484375
I'm not eating that.,-13.1484375
How was your trip?,-13.1484375
Idiot!,-13.1484375
What was that noise?,-13.1484375
Got it.,-13.1484375
I'm so fat.,-13.1484375
I love that song!,-13.1484375
Who's that girl?,-13.1484375
Abby!,-13.1484375
You serious?,-13.1484375
No sweat.,-13.1484375
Why am I crying?,-13.14990234375
"Yeah, yeah, yeah, yeah.",-13.150390625
Come and get me!,-13.15234375
"It's okay, Mom.",-13.15234375
Let's dance!,-13.15234375
Can I have your phone number?,-13.15234375
Give me that.,-13.154296875
"Uh, why?",-13.154296875
Bruh!,-13.15478515625
Do you come here often?,-13.1552734375
What's going on in there?,-13.155517578125
Amen!,-13.15625
Women!,-13.15625
Which?,-13.15625
Food?,-13.15625
Three?,-13.15625
You can't eat that.,-13.15625
Jump!,-13.15625
I'm your girlfriend.,-13.15625
Is that your boyfriend?,-13.15625
Anything.,-13.15625
I'll go.,-13.15625
Do.,-13.15625
Y.,-13.15625
Give it back!,-13.15625
"Ugh, whatever.",-13.15625
I love that!,-13.15625
I suck.,-13.15625
What's your last name?,-13.15673828125
Why should I care?,-13.1572265625
I don't believe it.,-13.16015625
I don't think I can do it.,-13.16015625
Is this a date?,-13.16015625
"Whatever, guys.",-13.16015625
Egads!,-13.16015625
"Yes, you can.",-13.16015625
Can you hear me now?,-13.16015625
Why are you yelling?,-13.16015625
What on earth are you talking about?,-13.161102294921875
Are you feeling okay?,-13.16162109375
Are you talking about me?,-13.16162109375
What's he talking about?,-13.1619873046875
"Mama, Mama!",-13.162109375
"No, I won't.",-13.162353515625
What am I wearing?,-13.16253662109375
"Uh, what are you doing?",-13.16259765625
"Dude, what are you talking about?",-13.16265869140625
I'm so busy.,-13.1640625
You're amazing.,-13.1640625
I'm a vegan.,-13.1640625
You coming?,-13.1640625
What song is this?,-13.1640625
"Oh, what happened?",-13.1640625
I know what you're thinking.,-13.1640625
It's your turn.,-13.1640625
Not so fast.,-13.1640625
I'm sixteen.,-13.1640625
Cheer up!,-13.1640625
What it is?,-13.1640625
Heck yeah!,-13.1640625
I'm 22.,-13.1640625
Shoes?,-13.1640625
I'm young.,-13.1640625
You don't believe me?,-13.164306640625
Who're you?,-13.1650390625
"Okay, thank you.",-13.165283203125
F*ck!,-13.16552734375
"Uh, Mr.",-13.166015625
How could you not know?,-13.166015625
"All right, guys.",-13.166015625
